Fed,iso3c
IND,IND
RUS,RUS
FRA,FRA
ESP,ESP
IRI,IRN
TUR,TUR
GER,DEU
POL,POL
ITA,ITA
GRE,GRC
BRA,BRA
USA,USA
SRI,LKA
UKR,UKR
CZE,CZE
MAS,MYS
EGY,EGY
ARG,ARG
HUN,HUN
COL,COL
MEX,MEX
ENG,GBR
ROU,ROU
SRB,SRB
KAZ,KAZ
PER,PER
CRO,HRV
VEN,VEN
NED,NLD
SVK,SVK
AUT,AUT
BEL,BEL
FID,FIDE
PHI,PHL
BAN,BGD
NOR,NOR
DEN,DNK
SWE,SWE
POR,PRT
RSA,ZAF
ISR,ISR
CHI,CHL
AZE,AZE
AUS,AUS
SLO,SVN
CRC,CRI
ALG,DZA
LTU,LTU
BUL,BGR
SUI,CHE
CAN,CAN
ECU,ECU
BOL,BOL
KGZ,KGZ
MAR,MAR
VIE,VNM
SGP,SGP
NEP,NPL
TUN,TUN
CHN,CHN
LAT,LVA
GEO,GEO
KEN,KEN
BIH,BIH
CUB,CUB
DOM,DOM
INA,IDN
IRQ,IRQ
KSA,SAU
UAE,ARE
BLR,BLR
UZB,UZB
ZAM,ZMB
NGR,NGA
BOT,BWA
ISL,ISL
MGL,MNG
JOR,JOR
UGA,UGA
IRL,IRL
EST,EST
PAN,PAN
ARM,ARM
PLE,PSE
NZL,NZL
MYA,MMR
OMA,OMN
PAK,PAK
KOR,KOR
FIN,FIN
URU,URY
LBA,LBY
LBN,LBN
THA,THA
ANG,AGO
SUD,SDN
PAR,PRY
MKD,MKD
SYR,SYR
HKG,HKG
MDA,MDA
ZIM,ZWE
MNE,MNE
SCO,GBR
NCA,NIC
CYP,CYP
HON,HND
PUR,PRI
NAM,NAM
ETH,ETH
TTO,TTO
ESA,SLV
MAW,MWI
JAM,JAM
ALB,ALB
MAD,MDG
LUX,LUX
GUA,GTM
TKM,TKM
WLS,GBR
BAR,BRB
MTN,MRT
BRN,BHR
YEM,YEM
TLS,TLS
SUR,SUR
KUW,KWT
MOZ,MOZ
JPN,JPN
TOG,TGO
FAI,FRO
SSD,SSD
CIV,CIV
MLT,MLT
MDV,MDV
LES,LSO
FIJ,FJI
GHA,GHA
TJK,TJK
AFG,AFG
SWZ,SWZ
GUM,GUM
GUY,GUY
PLW,PLW
HAI,HTI
CPV,CPV
LBR,LBR
JCI,JEY
MNC,MCO
TAN,TZA
BER,BMU
RWA,RWA
CMR,CMR
ERI,ERI
BAH,BHS
AND,AND
QAT,QAT
SEN,SEN
ARU,ABW
SOM,SOM
MLI,MLI
SOL,SLB
GAB,GAB
DJI,DJI
SEY,SYC
GAM,GMB
BDI,BDI
MRI,MUS
NRU,NRU
SLE,SLE
SMR,SMR
BUR,BFA
GCI,GGY
LIE,LIE
PNG,PNG
Ind,IND
